base,offset,p,q,value,flip_to
0x3598000,1322,0x3577000,0x35ba000,0xfb,0
0x3599000,1883,0x3577000,0x35ba000,0xfe,0
0x3598000,796,0x3577000,0x35ba000,0x40,1
0x3598000,1322,0x3577000,0x35bb000,0xfb,0
0x3599000,1883,0x3577000,0x35bb000,0xfe,0
0x3598000,796,0x3577000,0x35bb000,0x40,1
0x3598000,3464,0x3577000,0x35bb000,0x40,1
0x3599000,2504,0x3577000,0x35bb000,0x2,1
0x3595000,2267,0x357a000,0x35b6000,0xef,0
0x3593000,778,0x357c000,0x35b0000,0x20,1
0x35a2000,611,0x3581000,0x35c4000,0x8,1
0x35a8000,2723,0x358a000,0x35cf000,0xef,0
0x35a9000,2712,0x358a000,0x35cf000,0x4,1
0x35af000,2688,0x358d000,0x35c9000,0x20,1
0x35ad000,280,0x358e000,0x35ca000,0xef,0
0x35ad000,280,0x358f000,0x35cb000,0xef,0
0x35b2000,1889,0x3591000,0x35d5000,0x7f,0
0x35b6000,2915,0x3594000,0x35d0000,0xfe,0
0x35b6000,2915,0x3595000,0x35d0000,0xfe,0
0x35b9000,3051,0x359a000,0x35df000,0xfd,0
0x35b8000,2724,0x359a000,0x35df000,0x4,1
0x35b8000,617,0x359b000,0x35de000,0xbf,0
0x35c7000,3417,0x35a0000,0x35e4000,0xef,0
0x35cf000,3858,0x35a9000,0x35ed000,0xfe,0
0x35df000,3536,0x35b9000,0x35fc000,0xfb,0
0x35dd000,1688,0x35bb000,0x35fe000,0xfe,0
0x35db000,2736,0x35bc000,0x35f8000,0x2,1
0x35da000,50,0x35bc000,0x35f9000,0x7f,0
0x35db000,642,0x35bc000,0x35f9000,0xfe,0
0x35db000,3177,0x35bc000,0x35f9000,0xfb,0
0x35e9000,3020,0x35ca000,0x3617000,0xef,0
0x35e9000,1768,0x35ca000,0x3617000,0x80,1
0x35e9000,2626,0x35ca000,0x3617000,0x20,1
0x35e9000,3020,0x35cb000,0x3617000,0xef,0
