base,offset,p,q,value,flip_to,flips_page,flips_row
0x2761000,2297,0x2742000,0x278f000,0xef,0,1,1
0x2761000,2297,0x2743000,0x278e000,0xef,0,2,2
0x2761000,3513,0x2743000,0x278e000,0xef,0,2,2
0x2761000,2297,0x2743000,0x278f000,0xef,0,2,2
0x2761000,3513,0x2743000,0x278f000,0xef,0,2,2
0x2766000,3683,0x2744000,0x2788000,0xfd,0,1,1
0x2766000,3683,0x2744000,0x2789000,0xfd,0,1,1
0x2766000,3683,0x2745000,0x2788000,0xfd,0,1,1
0x2766000,3683,0x2745000,0x2789000,0xfd,0,1,1
0x2765000,528,0x2746000,0x278a000,0xbf,0,3,3
0x2765000,1824,0x2746000,0x278a000,0xfd,0,3,3
0x2765000,2360,0x2746000,0x278a000,0xf7,0,3,3
0x2765000,528,0x2746000,0x278b000,0xbf,0,2,2
0x2765000,3474,0x2746000,0x278b000,0xfd,0,2,2
0x2765000,3474,0x2747000,0x278a000,0xfd,0,1,1
0x2765000,528,0x2747000,0x278b000,0xbf,0,4,4
0x2765000,1824,0x2747000,0x278b000,0xfd,0,4,4
0x2765000,2360,0x2747000,0x278b000,0xf7,0,4,4
0x2765000,3474,0x2747000,0x278b000,0xfd,0,4,4
0x278e000,1016,0x2760000,0x27ac000,0x7f,0,2,2
0x278e000,3458,0x2760000,0x27ac000,0x7f,0,2,2
0x2786000,2066,0x2768000,0x27a5000,0x4,1,1,1
0x2784000,1050,0x276a000,0x27a6000,0xef,0,2,2
0x2784000,2490,0x276a000,0x27a6000,0xef,0,2,2
0x279e000,2328,0x2770000,0x27bc000,0x2,1,1,1
0x279e000,2328,0x2771000,0x27bc000,0x2,1,1,2
0x279f000,984,0x2771000,0x27bc000,0x2,1,1,2
0x279f000,1736,0x2771000,0x27bd000,0xdf,0,1,1
0x27c8000,3392,0x27ae000,0x27ea000,0x7f,0,1,2
0x27c9000,2971,0x27ae000,0x27ea000,0x7f,0,1,2
0x27c8000,3392,0x27ae000,0x27eb000,0x7f,0,1,1
0x27c8000,3392,0x27af000,0x27ea000,0x7f,0,1,1
0x27c8000,3392,0x27af000,0x27eb000,0x7f,0,1,1
0x27d5000,210,0x27b3000,0x27f6000,0xbf,0,1,1
0x27dc000,1576,0x27bb000,0x27ff000,0x40,1,1,1
0x27da000,400,0x27bc000,0x27f8000,0xfb,0,1,1
0x27db000,3284,0x27bc000,0x27f9000,0xdf,0,1,1
0x27da000,400,0x27bd000,0x27f8000,0xfb,0,1,3
0x27db000,1713,0x27bd000,0x27f8000,0xdf,0,2,3
0x27db000,3284,0x27bd000,0x27f8000,0xdf,0,2,3
0x27da000,400,0x27bd000,0x27f9000,0xfb,0,1,2
0x27db000,3284,0x27bd000,0x27f9000,0xdf,0,1,2
0x3c22000,2232,0x3c00000,0x3c44000,0xbf,0,1,1
0x3c33000,2868,0x3c11000,0x3c54000,0xef,0,1,1
0x3c34000,3072,0x3c16000,0x3c52000,0xef,0,1,1
0x3c41000,3200,0x3c26000,0x3c63000,0x2,1,1,1
0x3c57000,339,0x3c31000,0x3c75000,0x7f,0,1,1
0x3c62000,1272,0x3c40000,0x3c8c000,0xbf,0,1,3
0x3c63000,536,0x3c40000,0x3c8c000,0xef,0,2,3
0x3c63000,568,0x3c40000,0x3c8c000,0xf7,0,2,3
0x3c62000,1272,0x3c40000,0x3c8d000,0xbf,0,1,2
0x3c63000,568,0x3c40000,0x3c8d000,0xf7,0,1,2
0x3c6f000,2706,0x3c4d000,0x3c81000,0xfb,0,1,1
0x3c8f000,1832,0x3c60000,0x3cac000,0xdf,0,2,2
0x3c8f000,3905,0x3c60000,0x3cac000,0xfb,0,2,2
0x3c8f000,1832,0x3c60000,0x3cad000,0xdf,0,2,2
0x3c8f000,3905,0x3c60000,0x3cad000,0xfb,0,2,2
0x3c8f000,1304,0x3c61000,0x3cac000,0x10,1,1,1
0x3c8f000,1832,0x3c61000,0x3cad000,0xdf,0,2,2
0x3c8f000,3905,0x3c61000,0x3cad000,0xfb,0,2,2
0x3c96000,3090,0x3c79000,0x3cb4000,0x80,1,1,1
0x3caf000,3872,0x3c8d000,0x3cc9000,0xfd,0,1,1
0x3cc4000,355,0x3ca2000,0x3ce7000,0xef,0,1,1
0x3cc2000,3578,0x3ca4000,0x3ce0000,0xbf,0,1,1
0x3cc8000,1136,0x3cae000,0x3ceb000,0xfb,0,1,1
0x3cc9000,1147,0x3caf000,0x3cea000,0xdf,0,1,1
0x3cc8000,1136,0x3caf000,0x3ceb000,0xfb,0,1,1
0x3cd6000,1114,0x3cb0000,0x3cf4000,0xbf,0,1,1
0x3cd6000,1114,0x3cb0000,0x3cf5000,0xbf,0,1,1
0x3d03000,3902,0x3cfc000,0x3d21000,0x10,1,1,1
0x3d2a000,66,0x3d09000,0x3d4c000,0xfe,0,1,1
0x3d2a000,66,0x3d09000,0x3d4d000,0xfe,0,1,3
0x3d2b000,1266,0x3d09000,0x3d4d000,0x7f,0,2,3
0x3d2b000,2450,0x3d09000,0x3d4d000,0xdf,0,2,3
0x3d46000,1848,0x3d20000,0x3d64000,0xdf,0,1,1
0x3d52000,2176,0x3d34000,0x3d70000,0x7f,0,1,1
0x3d61000,96,0x3d42000,0x3d8e000,0x20,1,1,1
0x3d60000,2589,0x3d42000,0x3d8f000,0xfe,0,1,2
0x3d61000,3402,0x3d42000,0x3d8f000,0xbf,0,1,2
0x3d61000,3402,0x3d43000,0x3d8e000,0xbf,0,1,1
0x3d72000,1364,0x3d50000,0x3d9d000,0x80,1,1,1
0x3d74000,2904,0x3d56000,0x3d9a000,0xbf,0,1,1
0x3db8000,1897,0x3d9b000,0x3ddf000,0x80,1,2,2
0x3db8000,2032,0x3d9b000,0x3ddf000,0x20,1,2,2
0x3dbe000,4057,0x3d9c000,0x3dd8000,0xfd,0,1,3
0x3dbf000,872,0x3d9c000,0x3dd8000,0xbf,0,2,3
0x3dbf000,3897,0x3d9c000,0x3dd8000,0xef,0,2,3
0x3dc1000,2194,0x3da6000,0x3de2000,0x80,1,1,1
0x3dc9000,3107,0x3dae000,0x3deb000,0xfe,0,1,1
0x3dc9000,3107,0x3daf000,0x3dea000,0xfe,0,2,2
0x3dc9000,3840,0x3daf000,0x3dea000,0xfb,0,2,2
0x3dc8000,507,0x3daf000,0x3deb000,0x7f,0,1,3
0x3dc9000,939,0x3daf000,0x3deb000,0xdf,0,2,3
0x3dc9000,3107,0x3daf000,0x3deb000,0xfe,0,2,3
0x3dde000,3994,0x3db9000,0x3dfd000,0xdf,0,1,1
0x3dee000,2232,0x3dcc000,0x3e11000,0xfd,0,1,1
0x3dee000,2232,0x3dcd000,0x3e10000,0xfd,0,1,1
0x3dee000,2232,0x3dcd000,0x3e11000,0xfd,0,1,1
0x3e23000,2176,0x3e00000,0x3e44000,0xfd,0,1,1
0x3e40000,3106,0x3e27000,0x3e63000,0xfb,0,1,1
0x3e4e000,3074,0x3e28000,0x3e6c000,0xfd,0,1,1
0x3e4e000,3074,0x3e28000,0x3e6d000,0xfd,0,1,1
0x3e4e000,3074,0x3e29000,0x3e6c000,0xfd,0,1,1
0x3e4e000,3074,0x3e29000,0x3e6d000,0xfd,0,1,1
0x3e63000,1442,0x3e40000,0x3e8c000,0xbf,0,1,1
0x3e6a000,3018,0x3e48000,0x3e85000,0xfe,0,1,1
0x3e6a000,3018,0x3e49000,0x3e85000,0xfe,0,1,1
0x3e8b000,1906,0x3e65000,0x3ea9000,0xfb,0,1,2
0x3e8b000,3336,0x3e65000,0x3ea9000,0x8,1,1,2
0x3e89000,281,0x3e66000,0x3eaa000,0xdf,0,1,1
0x3eae000,115,0x3e8c000,0x3ec8000,0xf7,0,1,1
0x3eae000,115,0x3e8c000,0x3ec9000,0xf7,0,1,1
0x3eae000,115,0x3e8d000,0x3ec8000,0xf7,0,1,1
0x3eae000,115,0x3e8d000,0x3ec9000,0xf7,0,1,1
0x3eb9000,2360,0x3e9a000,0x3ede000,0xfd,0,1,1
0x3eb8000,472,0x3e9a000,0x3edf000,0xbf,0,2,5
0x3eb8000,1360,0x3e9a000,0x3edf000,0xf7,0,2,5
0x3eb9000,2360,0x3e9a000,0x3edf000,0xfd,0,3,5
0x3eb9000,3208,0x3e9a000,0x3edf000,0xf7,0,3,5
0x3eb9000,3604,0x3e9a000,0x3edf000,0xfd,0,3,5
0x3eb8000,472,0x3e9b000,0x3ede000,0xbf,0,1,2
0x3eb9000,2360,0x3e9b000,0x3ede000,0xfd,0,1,2
0x3eb9000,2360,0x3e9b000,0x3edf000,0xfd,0,1,1
0x3ece000,2640,0x3ea8000,0x3eec000,0x7f,0,1,1
0x3ece000,2640,0x3ea8000,0x3eed000,0x7f,0,1,2
0x3ecf000,2432,0x3ea8000,0x3eed000,0xfb,0,1,2
0x3ece000,2640,0x3ea9000,0x3eec000,0x7f,0,1,1
0x3f22000,736,0x3f00000,0x3f44000,0x7f,0,1,2
0x3f23000,1088,0x3f00000,0x3f44000,0xbf,0,1,2
0x3f22000,736,0x3f00000,0x3f45000,0x7f,0,1,2
0x3f23000,1088,0x3f00000,0x3f45000,0xbf,0,1,2
0x3f22000,736,0x3f01000,0x3f44000,0x7f,0,1,2
0x3f23000,1088,0x3f01000,0x3f44000,0xbf,0,1,2
